,object_id,time_since_founded
27,c:4495,[1]
908,c:144059,[67]
11,c:475,[83]
198,c:10614,[121]
806,c:164413,[324]
691,c:145411,[340]
1224,c:281988,[694]
1253,c:235945,[711]
716,c:48759,[754]
611,c:22130,[896]
973,c:245010,[947]
1017,c:258641,[968]
1094,c:265792,[992]
309,c:1368,[1018]
229,c:37881,[1081]
681,c:11391,[1107]
709,c:24982,[1168]
15,c:108,[1197]
658,c:40482,[1253]
957,c:241173,[1301]
963,c:46007,[1306]
1034,c:258957,[1334]
867,c:37431,[1409]
1214,c:37940,[1414]
486,c:1448,[1448]
65,c:15609,[1476]
308,c:43666,[1531]
936,c:38270,[1598]
344,c:1249,[1636]
699,c:1812,[1695]
29,c:1863,[1715]
136,c:26917,[1727]
1104,c:266936,[1727]
167,c:34190,[1783]
37,c:474,[1888]
644,c:760,[1896]
648,c:187,[1934]
1014,c:10106,[1957]
985,c:234793,[1959]
834,c:24046,[1963]
870,c:38752,[1988]
1000,c:29778,[1997]
953,c:158876,[2031]
1015,c:25574,[2064]
91,c:13219,[2064]
131,c:32425,[2093]
1207,c:82151,[2143]
188,c:35739,[2144]
1213,c:40228,[2145]
683,c:21370,[2158]
717,c:23283,[2159]
490,c:42276,[2170]
280,c:7741,[2214]
880,c:36920,[2239]
299,c:42425,[2251]
761,c:64053,[2297]
612,c:2312,[2327]
853,c:219194,[2342]
862,c:62886,[2349]
881,c:33411,[2360]
891,c:228119,[2361]
350,c:548,[2374]
629,c:959,[2387]
775,c:25907,[2397]
636,c:37739,[2400]
976,c:245405,[2409]
990,c:35863,[2418]
649,c:16435,[2420]
1054,c:1665,[2433]
1150,c:23311,[2444]
128,c:32127,[2454]
164,c:14081,[2480]
165,c:34178,[2483]
171,c:34617,[2491]
771,c:18028,[2512]
213,c:37180,[2534]
823,c:4004,[2558]
89,c:17731,[2567]
44,c:1790,[2585]
79,c:18131,[2587]
317,c:26551,[2646]
825,c:3739,[2652]
1070,c:71598,[2658]
346,c:1680,[2737]
356,c:25187,[2739]
919,c:73152,[2739]
1192,c:12,[2788]
1051,c:12352,[2798]
706,c:113,[2802]
148,c:26144,[2830]
1119,c:32412,[2831]
1171,c:221060,[2857]
1194,c:1105,[2867]
1108,c:18293,[2886]
203,c:36738,[2892]
830,c:235,[2927]
601,c:176,[2941]
1058,c:53,[2951]
698,c:325,[2970]
565,c:66768,[2989]
575,c:24837,[3001]
713,c:22131,[3002]
715,c:6314,[3004]
316,c:16192,[3011]
85,c:7618,[3025]
780,c:5,[3030]
31,c:4821,[3041]
1146,c:271076,[3054]
846,c:104377,[3065]
852,c:56788,[3072]
5,c:1438,[3085]
18,c:4018,[3101]
358,c:46074,[3104]
1061,c:3060,[3104]
798,c:1645,[3111]
1149,c:5617,[3119]
377,c:52211,[3123]
774,c:1434,[3124]
989,c:10704,[3148]
1021,c:40456,[3160]
1052,c:9743,[3163]
1084,c:74265,[3181]
142,c:1663,[3189]
1120,c:36004,[3196]
1143,c:271030,[3205]
1148,c:271575,[3208]
1041,c:17487,[3212]
1153,c:23230,[3212]
1166,c:263263,[3218]
1172,c:70361,[3222]
1178,c:1867,[3224]
202,c:36668,[3256]
926,c:24131,[3264]
183,c:29414,[3268]
872,c:44687,[3268]
51,c:7872,[3292]
215,c:37366,[3297]
275,c:40224,[3306]
386,c:352,[3320]
306,c:26905,[3355]
819,c:47834,[3373]
822,c:47906,[3379]
24,c:1972,[3391]
30,c:3827,[3406]
857,c:47257,[3443]
3,c:59,[3443]
70,c:1926,[3460]
922,c:155640,[3463]
351,c:37515,[3469]
920,c:1063,[3471]
50,c:3277,[3471]
790,c:22548,[3473]
964,c:212510,[3499]
394,c:53647,[3517]
1060,c:28373,[3529]
1063,c:260563,[3532]
405,c:55982,[3536]
22,c:424,[3543]
1085,c:56442,[3548]
1099,c:15563,[3553]
1101,c:73330,[3554]
1103,c:266896,[3554]
1137,c:220381,[3569]
1141,c:227029,[3570]
176,c:15436,[3596]
469,c:5744,[3612]
472,c:17600,[3612]
206,c:35967,[3627]
209,c:30039,[3629]
413,c:56115,[3631]
1252,c:243568,[3633]
505,c:41552,[3643]
262,c:39560,[3664]
279,c:40453,[3675]
635,c:581,[3678]
290,c:17933,[3690]
291,c:41885,[3696]
464,c:590,[3711]
318,c:30684,[3744]
34,c:3657,[3786]
833,c:14839,[3789]
835,c:24834,[3793]
602,c:50953,[3795]
45,c:256,[3805]
337,c:49691,[3817]
112,c:25597,[3834]
113,c:15299,[3834]
115,c:24568,[3835]
918,c:5067,[3835]
788,c:10926,[3835]
792,c:37740,[3843]
979,c:245874,[3872]
127,c:29378,[3875]
388,c:24150,[3877]
53,c:8931,[3899]
133,c:32447,[3919]
144,c:28263,[3920]
1111,c:949,[3922]
1133,c:34373,[3933]
1145,c:258330,[3936]
155,c:17456,[3937]
341,c:5108,[3939]
54,c:840,[3946]
685,c:757,[3961]
96,c:601,[4003]
67,c:3161,[4031]
393,c:28250,[4034]
286,c:568,[4050]
697,c:9931,[4061]
816,c:15832,[4090]
984,c:15760,[4090]
818,c:192434,[4097]
314,c:30687,[4100]
349,c:3052,[4110]
566,c:17274,[4117]
19,c:2335,[4119]
714,c:12178,[4130]
322,c:31253,[4136]
38,c:5444,[4153]
577,c:20129,[4162]
332,c:48760,[4166]
609,c:161,[4183]
890,c:24713,[4187]
776,c:23756,[4197]
620,c:3600,[4198]
363,c:51055,[4205]
791,c:19066,[4208]
956,c:37880,[4223]
959,c:23609,[4227]
438,c:9636,[4236]
390,c:35247,[4242]
392,c:54506,[4246]
72,c:17289,[4251]
129,c:32164,[4281]
673,c:131664,[4295]
353,c:3407,[4322]
1204,c:268288,[4333]
1209,c:6369,[4335]
1221,c:36485,[4343]
1222,c:281519,[4343]
331,c:17205,[4345]
192,c:36312,[4345]
844,c:624,[4345]
478,c:62791,[4351]
489,c:63671,[4361]
518,c:3203,[4394]
69,c:2334,[4402]
287,c:41391,[4418]
547,c:68190,[4421]
82,c:13389,[4422]
8,c:2720,[4442]
637,c:528,[4444]
813,c:189859,[4445]
17,c:3952,[4477]
725,c:24623,[4477]
827,c:6306,[4484]
778,c:1705,[4487]
864,c:63884,[4540]
47,c:6478,[4544]
99,c:25630,[4558]
720,c:163,[4563]
348,c:36317,[4565]
794,c:16178,[4574]
939,c:23054,[4579]
634,c:13246,[4589]
971,c:12451,[4596]
23,c:20,[4608]
391,c:33792,[4611]
1002,c:37966,[4615]
1067,c:24705,[4630]
1236,c:17533,[4630]
403,c:5990,[4631]
455,c:32658,[4687]
196,c:36487,[4712]
1234,c:85862,[4719]
224,c:37768,[4732]
689,c:30525,[4740]
247,c:18925,[4748]
543,c:8249,[4780]
7,c:2584,[4805]
812,c:3669,[4879]
36,c:848,[4883]
894,c:27657,[4919]
897,c:17181,[4919]
366,c:51097,[4935]
795,c:17482,[4940]
948,c:70824,[4948]
372,c:49709,[4949]
967,c:15273,[4961]
599,c:5622,[4977]
1044,c:674,[4989]
1055,c:25149,[4990]
1081,c:264820,[5007]
802,c:3626,[5018]
1121,c:29610,[5023]
458,c:10241,[5054]
955,c:4999,[5075]
1233,c:185523,[5108]
263,c:39451,[5125]
1049,c:565,[5142]
284,c:41025,[5143]
829,c:73898,[5146]
4,c:317,[5153]
690,c:24595,[5207]
20,c:29,[5215]
293,c:9580,[5221]
1175,c:26266,[5234]
831,c:181418,[5244]
838,c:163271,[5254]
863,c:171885,[5271]
930,c:3399,[5275]
354,c:45890,[5296]
116,c:14159,[5297]
118,c:24879,[5300]
938,c:238118,[5310]
642,c:22312,[5328]
1003,c:217859,[5346]
1008,c:219152,[5348]
399,c:30538,[5353]
1038,c:26599,[5353]
1100,c:215819,[5379]
670,c:25558,[5385]
1128,c:254996,[5390]
160,c:34063,[5402]
471,c:8750,[5403]
228,c:37796,[5463]
264,c:39593,[5490]
281,c:19308,[5504]
282,c:7416,[5504]
77,c:12287,[5505]
285,c:41119,[5510]
548,c:68300,[5518]
553,c:6954,[5526]
1247,c:36508,[5550]
482,c:350,[5601]
42,c:3978,[5621]
860,c:36788,[5635]
868,c:3526,[5639]
93,c:24746,[5644]
883,c:168168,[5647]
931,c:24028,[5669]
944,c:210969,[5676]
371,c:52202,[5680]
954,c:230775,[5683]
639,c:34091,[5692]
387,c:29580,[5703]
996,c:3447,[5706]
1001,c:71350,[5710]
1030,c:3524,[5717]
1029,c:24869,[5717]
1042,c:48483,[5719]
400,c:54217,[5719]
1090,c:265622,[5740]
473,c:9786,[5746]
1105,c:255756,[5746]
106,c:25809,[5747]
1097,c:78383,[5789]
182,c:35512,[5793]
1220,c:281393,[5804]
62,c:5208,[5822]
219,c:37448,[5824]
504,c:845,[5834]
252,c:7815,[5848]
75,c:7030,[5870]
298,c:36845,[5903]
305,c:43411,[5911]
757,c:11082,[5919]
1195,c:277665,[5935]
781,c:26477,[5986]
92,c:4303,[5991]
902,c:75365,[6015]
616,c:8661,[6018]
1037,c:26797,[6083]
1043,c:3132,[6084]
320,c:18871,[6094]
411,c:56178,[6095]
1087,c:234985,[6104]
1174,c:12422,[6144]
804,c:1942,[6146]
1200,c:257187,[6155]
1239,c:213595,[6182]
210,c:37100,[6185]
212,c:36983,[6186]
487,c:1504,[6186]
230,c:37799,[6194]
260,c:39361,[6216]
522,c:27810,[6225]
736,c:7563,[6310]
326,c:47459,[6335]
970,c:1360,[6363]
861,c:10795,[6366]
869,c:179475,[6371]
114,c:11997,[6391]
369,c:8530,[6405]
122,c:28279,[6417]
988,c:3855,[6435]
1047,c:1335,[6450]
1048,c:5346,[6450]
73,c:5040,[6467]
130,c:32373,[6475]
421,c:24398,[6480]
119,c:14008,[6483]
1129,c:204657,[6486]
1139,c:2623,[6491]
157,c:19665,[6495]
1215,c:280553,[6532]
214,c:37269,[6553]
220,c:37662,[6558]
254,c:39172,[6580]
257,c:39190,[6580]
893,c:196984,[6744]
793,c:33497,[6765]
934,c:584,[6766]
958,c:219155,[6780]
1057,c:4209,[6816]
1064,c:40670,[6821]
1092,c:199642,[6836]
803,c:84340,[6840]
1131,c:38729,[6854]
1151,c:272590,[6865]
173,c:25118,[6875]
237,c:38405,[6931]
242,c:38640,[6936]
273,c:39961,[6955]
700,c:32778,[6990]
701,c:26025,[6990]
568,c:1727,[7008]
307,c:10475,[7008]
627,c:5473,[7135]
1020,c:212,[7178]
222,c:14900,[7288]
506,c:64747,[7296]
245,c:38756,[7303]
555,c:32494,[7354]
631,c:60788,[7361]
324,c:47042,[7427]
842,c:27380,[7447]
898,c:228623,[7475]
101,c:21287,[7481]
1024,c:10453,[7543]
423,c:47380,[7579]
172,c:34674,[7605]
56,c:3275,[7633]
244,c:38753,[7668]
265,c:39638,[7682]
274,c:40215,[7689]
702,c:20712,[7721]
730,c:26940,[7770]
748,c:17124,[7773]
334,c:31446,[7828]
747,c:56346,[7834]
892,c:43753,[7840]
671,c:7120,[7942]
159,c:32542,[7959]
1202,c:277981,[7982]
1238,c:284194,[8009]
232,c:38038,[8023]
258,c:39269,[8042]
35,c:24,[8170]
856,c:221142,[8190]
336,c:49334,[8194]
968,c:29411,[8248]
134,c:15787,[8302]
679,c:33777,[8343]
1187,c:210366,[8344]
185,c:35602,[8351]
805,c:13529,[8356]
21,c:351,[8359]
239,c:38529,[8395]
750,c:17218,[8503]
832,c:48911,[8531]
43,c:4942,[8546]
48,c:323,[8562]
345,c:50410,[8577]
947,c:218416,[8599]
404,c:55913,[8649]
1186,c:219391,[8709]
1216,c:28922,[8723]
208,c:37095,[8742]
238,c:33731,[8757]
515,c:25644,[8764]
740,c:47461,[8868]
765,c:18127,[8873]
595,c:19688,[8888]
32,c:5229,[8898]
603,c:53889,[8910]
105,c:25380,[8942]
1010,c:11227,[9000]
1091,c:265675,[9027]
1110,c:260351,[9035]
1132,c:67716,[9046]
1232,c:225182,[9097]
205,c:36947,[9104]
59,c:28,[9110]
221,c:37684,[9114]
223,c:37763,[9115]
234,c:38257,[9121]
268,c:39780,[9144]
557,c:40866,[9184]
571,c:28417,[9201]
10,c:2537,[9212]
719,c:32024,[9219]
16,c:3754,[9220]
737,c:29208,[9233]
12,c:283,[9246]
39,c:5471,[9267]
914,c:148258,[9308]
347,c:4967,[9312]
126,c:2602,[9353]
999,c:28336,[9362]
409,c:56009,[9380]
669,c:17655,[9402]
199,c:26977,[9466]
248,c:38899,[9498]
530,c:37673,[9516]
729,c:42408,[9596]
86,c:6234,[9600]
28,c:3320,[9608]
41,c:4708,[9639]
335,c:15306,[9655]
343,c:50284,[9671]
651,c:12185,[9725]
687,c:15850,[9737]
417,c:29567,[9754]
1089,c:265625,[9758]
141,c:26919,[9764]
672,c:129784,[9772]
175,c:35042,[9804]
1190,c:256803,[9806]
177,c:28899,[9807]
61,c:851,[9840]
60,c:851,[9840]
250,c:39057,[9866]
74,c:5182,[9881]
311,c:14111,[9937]
580,c:72249,[9949]
319,c:26239,[9958]
9,c:3316,[10042]
645,c:65917,[10084]
158,c:23241,[10149]
1158,c:200605,[10156]
186,c:35663,[10178]
58,c:2390,[10205]
1102,c:207212,[10250]
779,c:34650,[10364]
384,c:52578,[10434]
980,c:31070,[10446]
1040,c:23339,[10466]
666,c:23927,[10484]
1152,c:223792,[10517]
169,c:2456,[10519]
181,c:2989,[10541]
1235,c:283827,[10563]
251,c:39061,[10596]
25,c:966,[10696]
878,c:209318,[10760]
125,c:396,[10804]
1018,c:28285,[10831]
1068,c:200926,[10841]
661,c:10855,[10843]
1185,c:207995,[10902]
201,c:36666,[10927]
207,c:37093,[10934]
235,c:38387,[10949]
1031,c:1071,[11196]
139,c:30503,[11224]
437,c:10545,[11238]
1176,c:275136,[11247]
1184,c:244337,[11265]
200,c:36665,[11292]
1248,c:152753,[11302]
266,c:39670,[11335]
267,c:39758,[11336]
567,c:5722,[11391]
712,c:32951,[11401]
94,c:24745,[11488]
103,c:16612,[11499]
647,c:12011,[11550]
0,c:1654,[11636]
191,c:36158,[11646]
762,c:39921,[11794]
769,c:20971,[11795]
111,c:24852,[11868]
76,c:6292,[11928]
427,c:25248,[11965]
448,c:25020,[11987]
231,c:37903,[12038]
255,c:2680,[12058]
728,c:6277,[12085]
754,c:7320,[12159]
755,c:25106,[12159]
1046,c:988,[12294]
1082,c:25684,[12313]
1138,c:270645,[12335]
1,c:1242,[12364]
227,c:37790,[12403]
240,c:32496,[12415]
276,c:40081,[12438]
1160,c:274037,[12715]
929,c:149998,[12974]
66,c:6651,[13154]
295,c:42009,[13195]
310,c:43979,[13224]
910,c:57216,[13323]
426,c:31839,[13426]
435,c:58320,[13428]
808,c:180632,[13611]
758,c:13405,[13620]
619,c:26050,[13694]
368,c:38420,[13709]
1039,c:28385,[13754]
1173,c:12394,[13815]
328,c:47592,[14009]
143,c:26894,[14147]
249,c:38903,[14246]
329,c:25,[14378]
925,c:235777,[14434]
659,c:3245,[14494]
485,c:40591,[14586]
1243,c:212794,[14587]
491,c:64013,[14593]
815,c:17862,[14680]
323,c:22518,[14729]
1122,c:82286,[14884]
64,c:71,[14954]
270,c:30504,[14989]
272,c:39953,[14990]
641,c:49256,[15188]
1136,c:231551,[15257]
98,c:25639,[15516]
1217,c:280761,[15664]
545,c:26071,[15744]
773,c:10166,[15815]
593,c:74361,[15817]
154,c:33647,[15990]
810,c:7945,[16084]
1201,c:261811,[16382]
528,c:26059,[16454]
294,c:42004,[16482]
33,c:4175,[16570]
837,c:30923,[16577]
277,c:40322,[17552]
147,c:32944,[18170]
178,c:31915,[18210]
190,c:36087,[18220]
292,c:41914,[18307]
256,c:39186,[18633]
1009,c:173394,[18862]
1028,c:29025,[18866]
665,c:30574,[18885]
585,c:13402,[19087]
743,c:28787,[19096]
1164,c:274053,[19289]
749,c:44982,[19461]
653,c:17066,[19589]
1032,c:49909,[19597]
1016,c:30060,[19961]
1227,c:24054,[20052]
271,c:39873,[20103]
777,c:31663,[20576]
764,c:44814,[20925]
784,c:34590,[21444]
297,c:21154,[21603]
766,c:26971,[21656]
610,c:24864,[21715]
452,c:50210,[21850]
246,c:38762,[22278]
480,c:33654,[22614]
170,c:34362,[22940]
302,c:304,[23437]
204,c:36791,[23712]
745,c:18507,[24574]
283,c:40902,[25229]
225,c:37771,[25552]
123,c:28357,[25776]
124,c:355,[25776]
508,c:64802,[26290]
259,c:39278,[27400]
727,c:34406,[27493]
431,c:58207,[27672]
216,c:37380,[27738]
1250,c:39330,[28470]
584,c:4304,[29679]
646,c:30927,[29811]
1229,c:223939,[29915]
753,c:1915,[30787]
2,c:342,[30797]
414,c:20016,[30933]
1163,c:274050,[31708]
428,c:7576,[32233]
166,c:34181,[32433]
537,c:541,[32533]
14,c:3658,[33323]
140,c:32510,[33504]
1246,c:258527,[33947]
550,c:30981,[34009]
1225,c:27295,[34662]
987,c:57929,[35654]
1022,c:26486,[36033]
746,c:59312,[36993]
710,c:7060,[38791]
367,c:4199,[39642]
1109,c:11318,[40280]
935,c:70725,[40374]
1027,c:20211,[40781]
